Year-Month-Day	Time	Temperature[C°]	Humidity[%]
2024-11-26	00:36:30	24.54	56.01
2024-11-26	00:39:10	24.53	56.37
2024-11-26	00:42:32	24.82	55.74
2024-11-26	00:43:02	24.81	56.28
2024-11-26	00:43:32	24.82	55.62
2024-11-26	00:44:02	24.77	55.92
2024-11-26	00:49:37	24.59	55.98
2024-11-26	00:50:07	24.59	55.89
2024-11-26	00:50:37	24.44	55.89
2024-11-26	00:51:07	24.53	56.02
2024-11-26	00:51:37	24.56	56.05
2024-11-26	00:52:07	24.57	55.84
2024-11-26	00:52:37	24.64	55.85
2024-11-26	00:53:07	24.64	55.84
2024-11-26	14:13:31	23.40	62.62
2024-11-26	14:14:02	23.34	62.43
2024-11-26	14:14:32	23.15	62.42
